,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
0,Male,Yes,0,Graduate,No,5720,0,110.0,360.0,1.0,Urban
1,Male,Yes,1,Graduate,No,3076,1500,126.0,360.0,1.0,Urban
2,Male,Yes,2,Graduate,No,5000,1800,208.0,360.0,1.0,Urban
3,Male,Yes,2,Graduate,No,2340,2546,100.0,360.0,1.0,Urban
4,Male,No,0,Not Graduate,No,3276,0,78.0,360.0,1.0,Urban
5,Male,Yes,0,Not Graduate,Yes,2165,3422,152.0,360.0,1.0,Urban
6,Female,No,1,Not Graduate,No,2226,0,59.0,360.0,1.0,Semiurban
7,Male,Yes,2,Not Graduate,No,3881,0,147.0,360.0,0.0,Rural
8,Male,Yes,2,Graduate,No,13633,0,280.0,240.0,1.0,Urban
9,Male,No,0,Not Graduate,No,2400,2400,123.0,360.0,1.0,Semiurban
10,Male,No,0,Not Graduate,No,3091,0,90.0,360.0,1.0,Urban
11,Male,Yes,1,Graduate,No,2185,1516,162.0,360.0,1.0,Semiurban
12,Male,No,3,Graduate,No,4166,0,40.0,180.0,1.0,Urban
13,Male,Yes,2,Graduate,No,12173,0,166.0,360.0,0.0,Semiurban
14,Female,No,0,Graduate,No,4666,0,124.0,360.0,1.0,Semiurban
15,Male,No,1,Graduate,No,5667,0,131.0,360.0,1.0,Urban
16,Male,Yes,2,Graduate,No,4583,2916,200.0,360.0,1.0,Urban
17,Male,Yes,3,Graduate,No,3786,333,126.0,360.0,1.0,Semiurban
18,Male,Yes,0,Graduate,No,9226,7916,300.0,360.0,1.0,Urban
19,Male,No,0,Graduate,No,1300,3470,100.0,180.0,1.0,Semiurban
20,Male,Yes,1,Not Graduate,No,1888,1620,48.0,360.0,1.0,Urban
21,Female,No,3,Not Graduate,No,2083,0,28.0,180.0,1.0,Urban
22,Male,No,0,Graduate,No,3909,0,101.0,360.0,1.0,Urban
23,Female,No,0,Not Graduate,No,3765,0,125.0,360.0,1.0,Urban
24,Male,Yes,0,Graduate,No,5400,4380,290.0,360.0,1.0,Urban
25,Male,No,0,Graduate,No,0,24000,148.0,360.0,0.0,Rural
26,Male,Yes,2,Graduate,No,4363,1250,140.0,360.0,1.0,Urban
27,Male,Yes,0,Graduate,No,7500,3750,275.0,360.0,1.0,Urban
28,Male,Yes,0,Graduate,No,3772,833,57.0,360.0,1.0,Semiurban
29,Male,No,0,Graduate,No,2942,2382,125.0,180.0,1.0,Urban
30,Female,No,0,Not Graduate,No,2478,0,75.0,360.0,1.0,Semiurban
31,Male,Yes,2,Graduate,No,6250,820,192.0,360.0,1.0,Urban
32,Male,No,0,Graduate,No,3268,1683,152.0,360.0,1.0,Semiurban
33,Male,Yes,0,Graduate,No,2783,2708,158.0,360.0,1.0,Urban
34,Male,Yes,0,Graduate,No,2740,1541,101.0,360.0,1.0,Urban
35,Male,No,0,Graduate,No,3150,0,176.0,360.0,0.0,Semiurban
36,Male,Yes,2,Graduate,No,7350,4029,185.0,180.0,1.0,Urban
37,Male,Yes,0,Graduate,Yes,2267,2792,90.0,360.0,1.0,Urban
38,Male,No,0,Graduate,Yes,5833,0,116.0,360.0,1.0,Urban
39,Male,No,0,Graduate,No,3643,1963,138.0,360.0,1.0,Urban
40,Male,Yes,0,Graduate,No,5629,818,100.0,360.0,1.0,Urban
41,Female,No,0,Graduate,No,3644,0,110.0,360.0,1.0,Urban
42,Male,Yes,0,Not Graduate,No,1750,2024,90.0,360.0,1.0,Semiurban
43,Male,No,0,Graduate,No,6500,2600,200.0,360.0,1.0,Semiurban
44,Female,No,0,Graduate,No,3666,0,84.0,360.0,1.0,Urban
45,Male,Yes,0,Graduate,No,4260,3900,185.0,360.0,1.0,Urban
46,Male,Yes,0,Not Graduate,No,4163,1475,162.0,360.0,1.0,Urban
47,Male,No,0,Not Graduate,No,2356,1902,108.0,360.0,1.0,Semiurban
48,Male,No,0,Graduate,No,6792,3338,187.0,360.0,1.0,Urban
49,Male,Yes,3,Not Graduate,Yes,8000,250,187.0,360.0,1.0,Semiurban
50,Male,Yes,1,Graduate,No,2419,1707,124.0,360.0,1.0,Urban
51,Male,Yes,3,Not Graduate,No,3500,833,120.0,360.0,1.0,Semiurban
52,Male,Yes,1,Graduate,No,3500,3077,160.0,360.0,1.0,Semiurban
53,Male,Yes,2,Graduate,No,4116,1000,30.0,180.0,1.0,Urban
54,Male,Yes,0,Not Graduate,Yes,5293,0,92.0,360.0,1.0,Urban
55,Male,No,0,Graduate,No,2750,0,130.0,360.0,0.0,Urban
56,Female,No,0,Not Graduate,No,4402,0,130.0,360.0,1.0,Rural
57,Male,Yes,2,Graduate,No,3613,3539,134.0,180.0,1.0,Semiurban
