,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,0,5849,0.0,146.41216216216216,360.0,1.0,1,0,1,1,0,1,0,1,0,0,0,1
1,1,4583,1508.0,128.0,360.0,1.0,0,0,1,0,1,1,0,1,0,1,0,0
2,0,3000,0.0,66.0,360.0,1.0,1,0,1,0,1,1,0,0,1,0,0,1
3,0,2583,2358.0,120.0,360.0,1.0,1,0,1,0,1,0,1,1,0,0,0,1
4,0,6000,0.0,141.0,360.0,1.0,1,0,1,1,0,1,0,1,0,0,0,1
5,2,5417,4196.0,267.0,360.0,1.0,1,0,1,0,1,1,0,0,1,0,0,1
6,0,2333,1516.0,95.0,360.0,1.0,1,0,1,0,1,0,1,1,0,0,0,1
7,3,3036,2504.0,158.0,360.0,0.0,0,0,1,0,1,1,0,1,0,0,1,0
8,2,4006,1526.0,168.0,360.0,1.0,1,0,1,0,1,1,0,1,0,0,0,1
9,1,12841,10968.0,349.0,360.0,1.0,0,0,1,0,1,1,0,1,0,0,1,0
10,2,3200,700.0,70.0,360.0,1.0,1,0,1,0,1,1,0,1,0,0,0,1
11,2,2500,1840.0,109.0,360.0,1.0,1,0,1,0,1,1,0,1,0,0,0,1
12,2,3073,8106.0,200.0,360.0,1.0,1,0,1,0,1,1,0,1,0,0,0,1
13,0,1853,2840.0,114.0,360.0,1.0,0,0,1,1,0,1,0,1,0,1,0,0
14,2,1299,1086.0,17.0,120.0,1.0,1,0,1,0,1,1,0,1,0,0,0,1
15,0,4950,0.0,125.0,360.0,1.0,1,0,1,1,0,1,0,1,0,0,0,1
16,1,3596,0.0,100.0,240.0,1.0,1,0,1,1,0,0,1,1,0,0,0,1
17,0,3510,0.0,76.0,360.0,0.0,0,1,0,1,0,1,0,1,0,0,0,1
18,0,4887,0.0,133.0,360.0,1.0,0,0,1,0,1,0,1,1,0,1,0,0
19,0,2600,3500.0,115.0,360.0,1.0,1,0,1,0,1,1,0,1,0,0,0,1
20,0,7660,0.0,104.0,360.0,0.0,0,0,1,0,1,0,1,1,0,0,0,1
21,1,5955,5625.0,315.0,360.0,1.0,1,0,1,0,1,1,0,1,0,0,0,1
22,0,2600,1911.0,116.0,360.0,0.0,0,0,1,0,1,0,1,1,0,0,1,0
23,2,3365,1917.0,112.0,360.0,0.0,0,0,1,0,1,0,1,1,0,1,0,0
24,1,3717,2925.0,151.0,360.0,1.0,0,0,1,0,1,1,0,1,0,0,1,0
25,0,9560,0.0,191.0,360.0,1.0,1,0,1,0,1,1,0,0,1,0,1,0
26,0,2799,2253.0,122.0,360.0,1.0,1,0,1,0,1,1,0,1,0,0,1,0
27,2,4226,1040.0,110.0,360.0,1.0,1,0,1,0,1,0,1,1,0,0,0,1
28,0,1442,0.0,35.0,360.0,1.0,0,0,1,1,0,0,1,1,0,0,0,1
29,2,3750,2083.0,120.0,360.0,1.0,1,1,0,1,0,1,0,1,0,0,1,0
30,1,4166,3369.0,201.0,360.0,1.0,0,0,1,0,1,1,0,1,0,0,0,1
31,0,3167,0.0,74.0,360.0,1.0,0,0,1,1,0,1,0,1,0,0,0,1
32,1,4692,0.0,106.0,360.0,1.0,0,0,1,1,0,1,0,0,1,1,0,0
33,0,3500,1667.0,114.0,360.0,1.0,1,0,1,0,1,1,0,1,0,0,1,0
34,3,12500,3000.0,320.0,360.0,1.0,0,0,1,1,0,1,0,1,0,1,0,0
35,0,2275,2067.0,146.41216216216216,360.0,1.0,1,0,1,0,1,1,0,1,0,0,0,1
36,0,1828,1330.0,100.0,360.0,0.0,0,0,1,0,1,1,0,1,0,0,0,1
37,0,3667,1459.0,144.0,360.0,1.0,1,1,0,0,1,1,0,1,0,0,1,0
38,0,4166,7210.0,184.0,360.0,1.0,1,0,1,1,0,1,0,1,0,0,0,1
39,0,3748,1668.0,110.0,360.0,1.0,1,0,1,1,0,0,1,1,0,0,1,0
40,0,3600,0.0,80.0,360.0,1.0,0,0,1,1,0,1,0,1,0,0,0,1
41,0,1800,1213.0,47.0,360.0,1.0,1,0,1,1,0,1,0,1,0,0,0,1
42,0,2400,0.0,75.0,360.0,1.0,1,0,1,0,1,1,0,1,0,0,0,1
